timestamp,victim_address,to_address,event_type,transaction_hash,token_id,collection,contract_address
2022-07-03T00:58:29,0x91230b1c2198d1f4d843805a0584e5f69d9c99a0,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0xe5de2ee19f554f04428c01ed0dc346bc08b7a572828851fc8faf844fb3e1f035,7952,Loser Club Official,0x709d30f1f60f03d85a0ef33142ef3259392dc9e1
2022-07-03T00:58:29,0x91230b1c2198d1f4d843805a0584e5f69d9c99a0,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0x0d23d289dd18ee7e95c59fd69807c58e32441ec1860898d5f3de6abb19796872,4347,Loser Club Official,0x709d30f1f60f03d85a0ef33142ef3259392dc9e1
2022-07-03T00:58:29,0x91230b1c2198d1f4d843805a0584e5f69d9c99a0,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0x489d0b64b25974db1d3d2821f109aca7a2361cef4ff2e0e63d9fae0f051a0670,4087,Loser Club Official,0x709d30f1f60f03d85a0ef33142ef3259392dc9e1
2022-07-03T00:58:29,0x91230b1c2198d1f4d843805a0584e5f69d9c99a0,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0xd450d8221e1a4319b2bf82a787e528bb5645665eba4341afc447712f2a5a45d0,3771,Loser Club Official,0x709d30f1f60f03d85a0ef33142ef3259392dc9e1
2022-07-03T00:50:17,0x3b3dbb001973c9c8cfe580dd3d0cdde68864da5e,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0x01aec7aeded784f2454c8d6226cece91d2c9997a98c2feb2674e23c0fd4ab117,599,Something Token,0x05e7f2499ff153fea2f20bbde0b5584c911c0af1
2022-07-03T00:50:17,0x3b3dbb001973c9c8cfe580dd3d0cdde68864da5e,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0xc76d3ab1d21c86f56d65b40bbb4df00e0e269d932d8c0600d656b4617000bb5e,693,Something Token,0x05e7f2499ff153fea2f20bbde0b5584c911c0af1
2022-07-03T00:47:55,0x3b3dbb001973c9c8cfe580dd3d0cdde68864da5e,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0x1b0d56d5149b15249be0d1d4051556de836454b86e6badcfaef0b666060556ab,5477,Mirror Pass Genesis,0xb08a61d96108136439180ad3f3e340a24e448f6b
2022-07-03T00:47:33,0x3b3dbb001973c9c8cfe580dd3d0cdde68864da5e,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0x2a2cc7417d479585d027211896c571a8a8d16933a6a7b260a32822875cc669fc,1000392,MetaSniper,0xb336ae11e840e8d38d1453fd3d876cf4797f6716
2022-07-03T00:19:21,0x56f7f21a523600edc2ca057fce5f3a9ee4ebb46e,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0x97f713bd2a3bc72bd23fbfcf9b84b61573911af0eee1d0c67727e419f9380283,3572,God Hates NFTees,0xe6d48bf4ee912235398b96e16db6f310c21e82cb
2022-07-03T00:09:22,0xec642ea9dd6659e51d1857f9b780be591bb2edac,0x9fc0874efa80670c14248e61590378e487e36b54,transfer,0x3c6bdec47a9341958b8cefca6290b8b8b07348267459bc86ed3849fbe1041bd6,2945,NFTMaps Land,0x892cc48335db97e7d4b3b6929086459b9a06931c
